facility_index,weighted_distance_before_km,weighted_distance_after_km,weighted_distance_increase_km,population_extra_distance_ge_1km,population_extra_distance_ge_2km,population_extra_distance_ge_5km
310,1.7421534484407806,1.7573358199152265,0.0151823714744459,4088.0,970.0,0.0
306,1.7421534484407806,1.7542703469338234,0.012116898493042871,4551.0,0.0,0.0
259,1.7421534484407806,1.7526474632738434,0.010494014833062781,1712.0,1673.0,278.0
73,1.7421534484407806,1.7526096114622411,0.010456163021460574,0.0,0.0,0.0
265,1.7421534484407806,1.7525412799222766,0.010387831481496024,3104.0,1097.0,0.0
193,1.7421534484407806,1.7521261502106629,0.009972701769882297,1290.0,0.0,0.0
56,1.7421534484407806,1.7519697083822412,0.009816259941460626,3577.0,0.0,0.0
118,1.7421534484407806,1.7518132694773347,0.009659821036554161,2512.0,1743.0,0.0
280,1.7421534484407806,1.7506802167376383,0.008526768296857723,4170.0,0.0,0.0
186,1.7421534484407806,1.7506446062227246,0.008491157781943981,3463.0,0.0,0.0
57,1.7421534484407806,1.750540308712965,0.008386860272184382,3971.0,0.0,0.0
143,1.7421534484407806,1.7496971335907596,0.007543685149979051,0.0,0.0,0.0
120,1.7421534484407806,1.748839921889849,0.006686473449068364,2923.0,0.0,0.0
158,1.7421534484407806,1.7487250472836722,0.006571598842891602,2285.0,0.0,0.0
5,1.7421534484407806,1.7486571836502203,0.006503735209439698,293.0,0.0,0.0
124,1.7421534484407806,1.7486008571975493,0.006447408756768747,0.0,0.0,0.0
12,1.7421534484407806,1.7484733109322728,0.00631986249149219,0.0,0.0,0.0
290,1.7421534484407806,1.7481849111908903,0.006031462750109684,2422.0,0.0,0.0
119,1.7421534484407806,1.7480251795331005,0.005871731092319976,1479.0,794.0,0.0
278,1.7421534484407806,1.7479601432207026,0.005806694779922017,682.0,0.0,0.0
212,1.7421534484407806,1.7475425906647473,0.005389142223966692,1045.0,0.0,0.0
190,1.7421534484407806,1.7473468170218929,0.005193368581112301,516.0,0.0,0.0
58,1.7421534484407806,1.7467973866102358,0.004643938169455186,0.0,0.0,0.0
240,1.7421534484407806,1.7467658979410006,0.004612449500219995,0.0,0.0,0.0
260,1.7421534484407806,1.7466607913237508,0.004507342882970278,1397.0,126.0,0.0
78,1.7421534484407806,1.7464333119316287,0.004279863490848079,587.0,0.0,0.0
48,1.7421534484407806,1.7459894452456266,0.0038359968048460313,0.0,0.0,0.0
214,1.7421534484407806,1.7455868236208893,0.0034333751801087775,838.0,664.0,5.0
164,1.7421534484407806,1.7454953126605228,0.003341864219742252,0.0,0.0,0.0
272,1.7421534484407806,1.7454577986571054,0.003304350216324803,0.0,0.0,0.0
182,1.7421534484407806,1.7454021430431523,0.00324869460237176,0.0,0.0,0.0
203,1.7421534484407806,1.745205713307191,0.0030522648664104146,974.0,0.0,0.0
215,1.7421534484407806,1.7449447593158585,0.0027913108750778903,440.0,0.0,0.0
87,1.7421534484407806,1.7448234432951077,0.0026699948543271734,490.0,0.0,0.0
15,1.7421534484407806,1.744804701850871,0.002651253410090426,0.0,0.0,0.0
89,1.7421534484407806,1.7447253292800424,0.002571880839261853,8.0,0.0,0.0
270,1.7421534484407806,1.7446204285844127,0.0024669801436321137,0.0,0.0,0.0
222,1.7421534484407806,1.7441885515644187,0.0020351031236380823,0.0,0.0,0.0
286,1.7421534484407806,1.7440547634774533,0.0019013150366726794,9.0,0.0,0.0
72,1.7421534484407806,1.743934809995587,0.0017813615548063488,787.0,0.0,0.0
91,1.7421534484407806,1.7439186346106128,0.0017651861698322335,0.0,0.0,0.0
140,1.7421534484407806,1.7438938945019062,0.0017404460611256667,0.0,0.0,0.0
279,1.7421534484407806,1.7438606440389108,0.0017071955981302622,0.0,0.0,0.0
179,1.7421534484407806,1.743636088982611,0.001482640541830449,0.0,0.0,0.0
227,1.7421534484407806,1.743467908999638,0.001314460558857533,137.0,0.0,0.0
59,1.7421534484407806,1.7434477924070513,0.0012943439662707057,0.0,0.0,0.0
134,1.7421534484407806,1.7434114880416876,0.0012580396009069794,0.0,0.0,0.0
266,1.7421534484407806,1.7432118817189892,0.001058433278208648,0.0,0.0,0.0
207,1.7421534484407806,1.7431765460249051,0.0010230975841245549,0.0,0.0,0.0
163,1.7421534484407806,1.7431646822597737,0.0010112338189931513,0.0,0.0,0.0
54,1.7421534484407806,1.7431626243505245,0.0010091759097439201,0.0,0.0,0.0
307,1.7421534484407806,1.743120328298981,0.0009668798582003202,0.0,0.0,0.0
281,1.7421534484407806,1.7430343540216837,0.0008809055809031463,0.0,0.0,0.0
145,1.7421534484407806,1.7429978849847414,0.0008444365439608248,0.0,0.0,0.0
291,1.7421534484407806,1.7429899510785911,0.0008365026378105433,0.0,0.0,0.0
283,1.7421534484407806,1.7429855467026907,0.000832098261910108,0.0,0.0,0.0
211,1.7421534484407806,1.742919935886796,0.0007664874460153737,0.0,0.0,0.0
213,1.7421534484407806,1.742806833765192,0.000653385324411504,0.0,0.0,0.0
264,1.7421534484407806,1.742745795757176,0.0005923473163953474,0.0,0.0,0.0
289,1.7421534484407806,1.742698384452201,0.0005449360114204715,0.0,0.0,0.0
209,1.7421534484407806,1.7426887401770805,0.0005352917362999587,0.0,0.0,0.0
55,1.7421534484407806,1.74266493138401,0.0005114829432293355,0.0,0.0,0.0
292,1.7421534484407806,1.7425643833544833,0.0004109349137026985,0.0,0.0,0.0
296,1.7421534484407806,1.7425160705464362,0.00036262210565563,0.0,0.0,0.0
293,1.7421534484407806,1.7425076549509335,0.00035420651015294347,0.0,0.0,0.0
116,1.7421534484407806,1.7424990331507442,0.0003455847099635978,0.0,0.0,0.0
273,1.7421534484407806,1.742492758147921,0.00033930970714046715,0.0,0.0,0.0
277,1.7421534484407806,1.742487347340922,0.0003338989001413495,0.0,0.0,0.0
305,1.7421534484407806,1.7424761827239963,0.00032273428321571984,0.0,0.0,0.0
275,1.7421534484407806,1.7424685525278676,0.00031510408708701476,0.0,0.0,0.0
297,1.7421534484407806,1.7424466566319696,0.00029320819118905384,0.0,0.0,0.0
167,1.7421534484407806,1.7424332363735642,0.0002797879327836039,0.0,0.0,0.0
180,1.7421534484407806,1.7423403300423623,0.00018688160158175648,0.0,0.0,0.0
44,1.7421534484407806,1.7423345654961657,0.00018111705538514933,0.0,0.0,0.0
274,1.7421534484407806,1.7423215644477734,0.00016811600699284668,0.0,0.0,0.0
41,1.7421534484407806,1.7422923893749773,0.0001389409341967518,0.0,0.0,0.0
308,1.7421534484407806,1.74227146970319,0.00011802126240945121,0.0,0.0,0.0
74,1.7421534484407806,1.7422509423554442,9.749391466362667e-05,0.0,0.0,0.0
329,1.7421534484407806,1.742240521796983,8.707335620239398e-05,0.0,0.0,0.0
249,1.7421534484407806,1.7422280934908423,7.464505006171684e-05,0.0,0.0,0.0
315,1.7421534484407806,1.7422279146467274,7.446620594686593e-05,1.0,0.0,0.0
198,1.7421534484407806,1.7422269353314708,7.348689069019976e-05,0.0,0.0,0.0
181,1.7421534484407806,1.742221452550157,6.800410937635171e-05,0.0,0.0,0.0
146,1.7421534484407806,1.7422092885455007,5.584010472015066e-05,0.0,0.0,0.0
85,1.7421534484407806,1.742196319134676,4.287069389552478e-05,0.0,0.0,0.0
319,1.7421534484407806,1.7421962870752206,4.283863443999003e-05,0.0,0.0,0.0
325,1.7421534484407806,1.7421923139484956,3.886550771503572e-05,0.0,0.0,0.0
241,1.7421534484407806,1.7421898282780135,3.637983723292493e-05,0.0,0.0,0.0
202,1.7421534484407806,1.7421812809284194,2.7832487638823622e-05,0.0,0.0,0.0
309,1.7421534484407806,1.742180238256502,2.6789815721350863e-05,0.0,0.0,0.0
223,1.7421534484407806,1.7421680722026027,1.4623761822152304e-05,0.0,0.0,0.0
244,1.7421534484407806,1.742167407385583,1.39589448024946e-05,0.0,0.0,0.0
219,1.7421534484407806,1.7421606398024139,7.191361633296367e-06,0.0,0.0,0.0
166,1.7421534484407806,1.7421585647774924,5.1163367118522984e-06,0.0,0.0,0.0
234,1.7421534484407806,1.742157055675412,3.607234631441969e-06,0.0,0.0,0.0
150,1.7421534484407806,1.7421539317254615,4.83284680941054e-07,0.0,0.0,0.0
185,1.7421534484407806,1.742153781497514,3.330567335257939e-07,0.0,0.0,0.0
39,1.7421534484407806,1.7421534484407806,0.0,0.0,0.0,0.0
43,1.7421534484407806,1.7421534484407806,0.0,0.0,0.0,0.0
42,1.7421534484407806,1.7421534484407806,0.0,0.0,0.0,0.0
148,1.7421534484407806,1.7421534484407806,0.0,0.0,0.0,0.0
147,1.7421534484407806,1.7421534484407806,0.0,0.0,0.0,0.0
201,1.7421534484407806,1.7421534484407806,0.0,0.0,0.0,0.0
197,1.7421534484407806,1.7421534484407806,0.0,0.0,0.0,0.0
172,1.7421534484407806,1.7421534484407806,0.0,0.0,0.0,0.0
151,1.7421534484407806,1.7421534484407806,0.0,0.0,0.0,0.0
127,1.7421534484407806,1.7421534484407806,0.0,0.0,0.0,0.0
268,1.7421534484407806,1.7421534484407806,0.0,0.0,0.0,0.0
229,1.7421534484407806,1.7421534484407806,0.0,0.0,0.0,0.0
224,1.7421534484407806,1.7421534484407806,0.0,0.0,0.0,0.0
276,1.7421534484407806,1.7421534484407806,0.0,0.0,0.0,0.0
294,1.7421534484407806,1.7421534484407806,0.0,0.0,0.0,0.0
285,1.7421534484407806,1.7421534484407806,0.0,0.0,0.0,0.0
287,1.7421534484407806,1.7421534484407806,0.0,0.0,0.0,0.0
298,1.7421534484407806,1.7421534484407806,0.0,0.0,0.0,0.0
320,1.7421534484407806,1.7421534484407806,0.0,0.0,0.0,0.0
324,1.7421534484407806,1.7421534484407806,0.0,0.0,0.0,0.0
322,1.7421534484407806,1.7421534484407806,0.0,0.0,0.0,0.0
