COMMUNE,population,population_density,all_cash_distance_km,atm_distance_km,atm_access_gap_km
Stadtbredimus,1723.0508201898622,174.60112116058747,2.5750446678176373,2.7221747091931503,0.147130041375513
Tandel,2378.826528790263,56.9886589900573,2.5277328728389308,2.700261006400307,0.17252813356137642
Rambrouch,4697.688449707845,59.05197429599868,2.6743475051593126,2.682960078557911,0.008612573398598222
Diekirch,6544.472194665215,525.1916823737504,0.6811672623793936,2.3026683298516453,1.6215010674722516
Schieren,2287.298245210004,219.70597811563823,2.06088265771541,2.222186420625275,0.1613037629098648
Kayl,10626.942492861974,715.0561692518545,0.7168848977651917,2.01706246160062,1.3001775638354283
Käerjeng,12626.729338795185,374.6429360716287,1.4045106703001355,2.0019119492665354,0.5974012789663998
Winseler,1467.4299103754402,47.911012240216884,1.9533062062336504,1.9561667390741126,0.002860532840462282
Steinsel,6350.671553685817,290.2032291200139,1.6727877155475748,1.9098937726376441,0.23710605709006938
Junglinster,8286.614141472477,148.7353958685141,1.5246150996970873,1.8695351193468013,0.34492001964971397
Mondercange,8103.190997941996,378.51270626730246,1.1611730534769722,1.8648415526911,0.7036684992141278
Schengen,4983.165370089629,159.70573039260242,1.804479086385562,1.8325963991976864,0.028117312812124373
Redange/Attert,3093.126124990311,95.72909109354332,1.7098309288915379,1.7820379144607155,0.0722069855691776
Esch-sur-Sûre,2859.786353948369,55.590491518053575,1.7152706924289445,1.763070396407538,0.047799703978593566
Frisange,4624.071853578635,251.8722129212145,1.6558468736003142,1.707051526983813,0.051204653383498666
Niederanven,7827.331206812246,188.613274976366,1.033909161578083,1.6582958174804077,0.6243866559023246
Weiswampach,2247.991585604836,63.90725531217761,1.3658124042907542,1.5953243289001084,0.2295119246093542
Lorentzweiler,4455.960560574509,252.2248475347978,0.945517161810603,1.5359269680571621,0.5904098062465591
Contern,3982.5215812198967,191.51607668710125,0.9688591306890242,1.4863871157897284,0.5175279851007042
Lenningen,2455.356281400737,119.67561239523172,1.0533530083961549,1.4627246251685648,0.40937161677240996
Schuttrange,4219.584769810626,261.108867711842,1.002975831880824,1.395571689589895,0.3925958577090711
Saeul,938.8208329546347,62.78084101844627,1.3059759897250722,1.3086992045223824,0.0027232147973101917
Wiltz,7657.324842380387,193.84338297525917,1.1448315391038801,1.2396831907563204,0.09485165165244025
Berdorf,2014.0437888686392,91.81281307025512,1.0555823281044634,1.182372130426614,0.12678980232215054
Erpeldange-sur-Sûre,2619.618902875254,146.10767866841243,1.1576929392527264,1.1591039956151357,0.0014110563624092354
Mersch,10348.044906334842,209.02311540010376,1.0835087829740426,1.1465932518918112,0.06308446891776853
Larochette,2102.9391830300037,136.40986123797833,0.5827833376288497,1.0716555063666107,0.48887216873776096
Mamer,10128.311930754766,364.0632248614342,0.7325255297856522,1.0641815151634242,0.33165598537777197
Sanem,19026.08549705006,776.9838582772825,1.0397590292166248,1.0594933075096535,0.019734278293028762
Hesperange,16202.184670602714,591.3043371558332,0.952245613257859,0.9953849454822605,0.04313933222440158
Bettembourg,11111.431592959283,514.4876433657159,0.8045377702110078,0.8603303789525044,0.05579260874149661
Ettelbruck,9285.165354919634,611.3982337416287,0.7395881236357088,0.8503050006500082,0.11071687701429944
Mertert,4742.371678931896,314.88487681469263,0.46745579117163233,0.8362674036753178,0.3688116125036855
Mondorf-les-Bains,5357.000522111337,393.89510906888364,0.7575565150211415,0.7903761671459042,0.03281965212476268
Kopstal,3618.3843952533894,451.0991934390066,0.6792406541123067,0.7693585791275627,0.09011792501525595
Lintgen,3376.169940638136,219.01703286695383,0.7551363034304248,0.7622237344329402,0.00708743100251541
Leudelange,2710.9200273135916,198.32748213689626,0.7265218758815737,0.7280211376033051,0.0014992617217314264
Echternach,5720.2772982283,280.1245025186214,0.6884837345792906,0.7168203129530987,0.028336578373808097
Dudelange,21553.491328050586,1006.4336626606389,0.6408106846118113,0.6914262806511974,0.050615596039386035
Differdange,26737.640921358954,1202.931561544931,0.5562260462746536,0.6806420157629337,0.12441596948828015
Walferdange,7710.19090213626,1092.869148365686,0.44818870638713443,0.6532066118723366,0.2050179054852022
Vianden,2109.576456507447,218.29838449324168,0.6443158876633767,0.6475861859579594,0.0032702982945826964
Bertrange,9019.455849675476,522.4438686876083,0.6333279551034285,0.6399258120728604,0.006597856969431826
Strassen,10203.641139498359,962.6266013174137,0.5363804370849324,0.6196394249282496,0.0832589878433172
Sandweiler,3721.166464629658,479.9896219699341,0.5889507512072688,0.6195850739260597,0.030634322718790852
Remich,4041.2480826461274,791.898437038267,0.34026276194388405,0.6133488543873272,0.2730860924434432
Schifflange,10933.338158111454,1409.2560730506752,0.5999508049421219,0.6077493874591232,0.0077985825170012735
Bissen,3303.368923217568,158.52436040066078,0.5855551669008059,0.5855551669008059,0.0
Luxembourg,126946.986499823,2453.3818321496424,0.4484981784496642,0.548517030858793,0.10001885240912878
Esch-sur-Alzette,35317.44749347084,2452.374954705952,0.48919902792580594,0.5119556956441919,0.022756667718385915
Rumelange,5055.92879228814,738.6947024014229,0.4804617705816771,0.4917906489698853,0.011328878388208174
Grevenmacher,5041.3018355631575,308.44907784694294,0.47892864914471794,0.4789534999844325,2.485083971454083e-05
